iter	Passed	Remaining
0	60	59991
1	60	30210
2	60	20241
3	61	15249
4	61	12254
5	61	10261
6	62	8845
7	62	7775
8	63	6942
9	63	6276
10	63	5731
11	64	5278
12	64	4893
13	64	4570
14	65	4291
15	65	4041
16	66	3820
17	66	3624
18	66	3448
19	67	3294
20	67	3154
21	67	3022
22	68	2901
23	68	2791
24	69	2691
25	69	2597
26	69	2511
27	70	2430
28	70	2353
29	70	2283
30	70	2217
31	71	2154
32	71	2095
33	71	2041
34	72	1990
35	72	1943
36	72	1897
37	73	1853
38	73	1812
39	73	1772
40	74	1734
41	74	1698
42	74	1663
43	75	1629
44	75	1598
45	75	1568
46	75	1538
47	76	1510
48	76	1483
49	76	1458
50	77	1435
51	77	1411
52	77	1389
53	78	1368
54	78	1347
55	78	1327
56	79	1308
57	79	1288
58	79	1270
59	79	1252
60	80	1234
61	80	1217
62	80	1201
63	81	1186
64	81	1170
65	81	1155
66	81	1141
67	82	1124
68	82	1111
69	82	1097
70	82	1084
71	83	1072
72	83	1059
73	83	1047
74	84	1036
75	84	1024
76	84	1013
77	84	1003
78	85	993
79	85	983
80	85	973
81	86	965
82	86	956
83	86	946
84	86	936
85	87	927
86	87	916
87	87	908
88	87	900
89	88	891
90	88	884
91	88	876
92	89	868
93	89	860
94	89	853
95	89	846
96	90	839
97	90	832
98	90	825
99	91	819
100	91	812
101	91	804
102	91	798
103	91	791
104	92	786
105	92	780
106	92	774
107	93	768
108	93	763
109	93	757
110	93	752
111	94	746
112	94	741
113	94	736
114	95	731
115	95	725
116	95	720
117	95	715
118	95	709
119	96	704
120	96	699
121	96	695
122	96	689
123	96	684
124	97	680
125	97	675
126	97	671
127	97	666
128	98	662
129	98	658
130	98	654
131	98	650
132	99	646
133	99	642
134	99	639
135	100	635
136	100	632
137	100	627
138	100	624
139	101	620
140	101	616
141	101	613
142	101	610
143	102	607
144	102	604
145	102	601
146	102	597
147	103	594
148	103	590
149	103	587
150	103	584
151	104	581
152	104	578
153	104	575
154	105	572
155	105	569
156	105	566
157	105	564
158	106	561
159	106	558
160	106	555
161	106	552
162	107	550
163	107	548
164	107	545
165	108	543
166	108	540
167	108	538
168	108	535
169	109	533
170	109	530
171	109	527
172	109	525
173	110	523
